AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202506,3137304,LAGOA DOS PATOS,31,MINAS GERAIS,SE,SUDESTE,10630453.83,75893,1328284.41,2076,10306823.79,42893,933745.77,7423,2156,86,2141,84
202509,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,5466337.91,26151,3877844.83,2007,5868126.09,14790,4364314.0,6220,4172,280,3540,265
202212,2703106,IGACI,27,ALAGOAS,NE,NORDESTE,26852894.71,120655,2053068.21,1929,25594899.08,99180,2450297.09,4957,7007,111,7232,110
202501,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,33868715.88,199811,29011247.1,15726,33526463.64,113266,22951726.51,44070,5506,358,5443,342
202509,4107009,CURIÚVA,41,PARANÁ,SU,SUL,4767736.02,23967,3374241.18,1812,4764150.63,13140,3798450.3,4521,5013,344,3942,356
202306,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,21329478.47,122389,5539823.48,2801,20415120.52,85444,5895051.4,8746,6544,156,6578,160
202104,4107009,CURIÚVA,41,PARANÁ,SU,SUL,4486202.48,10832,6682223.69,1597,5110782.97,10471,4872173.91,1733,1932,179,2025,184
202210,4317558,SANTO ANTÔNIO DO PALMA,43,RIO GRANDE DO SUL,SU,SUL,1856736.21,6094,488610.76,344,1485298.08,2804,570894.41,1289,646,52,537,52
202404,3109105,BUENO BRANDÃO,31,MINAS GERAIS,SE,SUDESTE,22818577.97,79810,9288813.68,6199,28175455.6,51957,24261557.08,15488,4605,348,4461,342
202112,4107009,CURIÚVA,41,PARANÁ,SU,SUL,12144948.02,36800,12532921.6,4157,13730764.18,31814,10636106.95,6668,3680,279,3680,292
202507,4317558,SANTO ANTÔNIO DO PALMA,43,RIO GRANDE DO SUL,SU,SUL,5128133.1,16789,2519644.08,1318,5149962.09,7761,2858009.8,2206,939,92,830,84
202111,2614808,TACARATU,26,PERNAMBUCO,NE,NORDESTE,6837285.78,29383,855393.48,738,7778855.65,26912,1056266.9,1403,3507,76,3419,90
202409,4322186,TUPANCI DO SUL,43,RIO GRANDE DO SUL,SU,SUL,3184366.54,7273,3164849.25,542,2336438.27,3355,2284651.31,1567,626,54,499,46
202102,4322186,TUPANCI DO SUL,43,RIO GRANDE DO SUL,SU,SUL,74431.34,153,20369.61,22,59010.3,149,27544.02,30,61,7,61,8
202408,3109105,BUENO BRANDÃO,31,MINAS GERAIS,SE,SUDESTE,27250473.88,97580,9391700.68,6705,29537563.71,61379,63436578.53,19751,4916,378,4728,356
202503,2614808,TACARATU,26,PERNAMBUCO,NE,NORDESTE,44503501.74,332361,5829202.83,6235,41564225.6,201010,6844504.22,31417,10271,192,9741,187
202209,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,15220371.85,75114,4114399.35,1857,15606022.1,59306,3344519.06,4429,5299,125,5364,125
202108,4107009,CURIÚVA,41,PARANÁ,SU,SUL,8961176.9,22329,8527761.2,2975,9077828.27,20638,8179031.51,3912,3179,245,3011,245
202307,4309126,GRAMADO DOS LOUREIROS,43,RIO GRANDE DO SUL,SU,SUL,2542220.75,8690,1488260.93,520,2029860.93,5046,1590018.93,1261,761,51,686,49
202108,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,9192519.0,34984,4465154.88,2464,9488709.12,31113,6035201.92,4994,2865,135,2948,146
202205,2614808,TACARATU,26,PERNAMBUCO,NE,NORDESTE,11449722.45,55760,1194018.89,1395,12020664.68,46563,1723910.73,2973,4933,116,4738,116
202103,3137304,LAGOA DOS PATOS,31,MINAS GERAIS,SE,SUDESTE,892905.85,2909,420333.69,122,953041.32,3041,547628.92,118,478,18,556,18
202402,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,27433485.79,165126,12476203.2,12475,26174236.95,100415,13261980.21,30647,5191,324,5198,318
202403,4318606,SÃO JOSÉ DO OURO,43,RIO GRANDE DO SUL,SU,SUL,26818292.4,53784,10662216.61,5914,23829660.43,25962,12305825.02,17625,3412,398,3019,392
202108,3137304,LAGOA DOS PATOS,31,MINAS GERAIS,SE,SUDESTE,2491623.87,9118,1111276.44,307,2462331.06,9012,482903.14,317,936,24,986,30
202302,3109105,BUENO BRANDÃO,31,MINAS GERAIS,SE,SUDESTE,12682822.87,42946,5161066.71,3087,14756229.89,32683,16912075.14,7226,3744,257,3600,259
202303,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,21171827.41,108895,6969771.13,2590,20187807.27,78766,6395004.56,7348,6215,146,6227,144
202204,4317558,SANTO ANTÔNIO DO PALMA,43,RIO GRANDE DO SUL,SU,SUL,1688843.24,3961,354263.07,199,1223238.47,2082,467428.76,810,543,48,440,49
202312,2614808,TACARATU,26,PERNAMBUCO,NE,NORDESTE,33983777.83,236402,3428902.19,3138,34401999.57,156341,4128991.57,14169,8587,158,8192,155
202408,4309126,GRAMADO DOS LOUREIROS,43,RIO GRANDE DO SUL,SU,SUL,4009526.43,17766,2144026.88,877,3248310.59,8892,2142628.36,2103,959,56,853,59
202106,3165909,SENADOR MODESTINO GONÇALVES,31,MINAS GERAIS,SE,SUDESTE,2016533.73,5947,692750.08,291,2039176.36,6922,579040.48,464,832,25,908,31
202407,3109105,BUENO BRANDÃO,31,MINAS GERAIS,SE,SUDESTE,25978901.9,91730,11143361.89,7347,29159009.17,59458,84890662.57,20213,4824,360,4627,341
202504,4317558,SANTO ANTÔNIO DO PALMA,43,RIO GRANDE DO SUL,SU,SUL,5049384.31,17349,2341438.02,1017,4913377.9,7831,2766123.07,1758,912,93,820,84
202401,3109105,BUENO BRANDÃO,31,MINAS GERAIS,SE,SUDESTE,20383868.88,74284,6973410.66,5727,23155170.85,50516,16366122.92,14212,4488,327,4295,329
